        x          y     class
   -4.4573   -4.0700         0
   -4.4057   -4.4687         0
   -4.7369   -4.7966         0
   -4.5043   -4.4298         0
   -4.0086   -4.3107         0
   -4.8654   -4.7355         0
   -4.6693   -4.5659         0
   -4.9849   -4.2186         0
   -4.1896   -4.0767         0
   -4.2724   -4.6060         0
   -4.1990   -4.6100         0
    4.6661    4.0957         0
    4.9547    4.3477         0
    4.9186    4.0728         0
    4.3684    4.5444         0
    4.5629    4.9654         0
    4.8004    4.2812         0
    4.8983    4.0801         0
    4.9243    4.1458         0
    4.4131    4.1630         0
    4.2033    4.5386         0
    4.2000    4.4690         0
    4.0028    4.2653         0
    4.9836    4.6745         0
    4.9205    4.1245         0
    4.7761    4.2518         0
    4.7943    4.5892         0
    4.5516    4.3511         0
    4.7114    4.5228         0
    4.0626    4.3352         0
    4.0616    4.0235         0
    4.6064    4.4017         0
    4.2468    4.5047         0
    4.0018    4.1296         0
    4.7662    4.6130         0
    4.4254    4.9635         0
    4.9896    4.0897         0
    4.0703    4.3087         0
    4.1245    4.5292         0
    4.9684    4.4474         0
    4.8772    4.9400         0
    4.2404    4.7211         0
    4.5159    4.7379         0
    4.0788    4.6391         0
    4.6356    4.0353         0
    4.6162    4.6416         0
    4.6795    4.3186         0
    4.8396    4.1011         0
    4.7687    4.0810         0
    4.0546    4.9021         0
    4.0820    4.2527         0
    4.5430    4.4949         0
    4.3221    4.3881         0
    4.2444    4.2636         0
    4.0223    4.2631         0
    4.1706    4.6995         0
    4.9510    4.0567         0
    4.3384    4.7887         0
    4.4979    4.2923         0
    4.3702    4.8394         0
    4.6612    4.4846         0
    4.4657    4.2335         0
    4.8927    4.2205         0
    4.2596    4.3143         0
    4.6803    4.9954         0
    4.5309    4.1891         0
    4.0462    4.8505         0
    4.6782    4.8439         0
    4.2983    4.5283         0
    4.1053    4.6649         0
    4.4675    4.3696         0
    4.6823    4.3174         0
    4.7800    4.8103         0
    4.8276    4.1026         0
    4.4281    4.2128         0
    4.5043    4.4464         0
    4.6342    4.3866         0
    4.7267    4.7746         0
    4.4130    4.4742         0
    4.3563    4.7968         0
    4.3215    4.0249         0
    4.4624    4.9991         0
    4.6640    4.2831         0
    4.6460    4.7678         0
    4.3439    4.0351         0
    4.5894    4.8704         0
    4.8467    4.7429         0
    4.1779    4.1093         0
    4.2966    4.8666         0
    4.0458    4.8215         0
    4.8000    4.0038         0
    4.7961    4.6603         0
    4.3957    4.6324         0
    4.3199    4.2105         0
    4.9919    4.4349         0
    4.5509    4.9331         0
    4.0146    4.4573         0
    4.8592    4.1100         0
    4.5938    4.6799         0
    4.8614    4.9717         0
    4.7770    4.4354         0
    4.1049    4.2380         0
    4.3942    4.8874         0
    4.9760    4.9528         0
    4.5105    4.3917         0
    4.3935    4.7633         0
    4.5553    4.1001         0
    4.9754    4.2239         0
    4.4479    4.1025         0
    4.8641    4.0214         0
    4.1429    4.5169         0
